Range Time (seconds),Fuel Pressure
182.69999999997822,20.383375880280955
182.79999999997824,20.38674502899678
182.89999999997826,20.390114177712608
182.99999999997823,20.39348332642843
183.0999999999782,20.396852475144254
183.19999999997822,20.400221623860077
183.29999999997824,20.403590772575903
183.3999999999782,20.406959921291726
183.49999999997817,20.41032907000755
183.5999999999782,20.413698218723376
183.69999999997822,20.4170673674392
183.79999999997818,20.42043651615502
183.89999999997815,20.423805664870844
183.99999999997817,20.42717481358667
184.0999999999782,20.430543962302497
184.19999999997816,20.43391311101832
184.29999999997813,20.437282259734143
184.39999999997815,20.440651408449966
184.49999999997817,20.444020557165793
184.59999999997814,20.447389705881616
184.6999999999781,20.45075885459744
184.79999999997813,20.454128003313265
184.89999999997815,20.457497152029088
184.99999999997812,20.460866300744915
185.09999999997808,20.464235449460737
185.1999999999781,20.46760459817656
185.29999999997813,20.470973746892387
185.3999999999781,20.47434289560821
185.49999999997806,20.477712044324033
185.59999999997808,20.48108119303986
185.6999999999781,20.484450341755682
185.79999999997807,20.487819490471505
185.89999999997804,20.491188639187328
185.99999999997806,20.494557787903155
186.09999999997808,20.49792693661898
186.19999999997805,20.501296085334804
186.299999999978,20.504665234050627
186.39999999997804,20.50803438276645
186.49999999997806,20.511403531482276
186.59999999997802,20.5147726801981
186.699999999978,20.518141828913922
186.799999999978,20.52151097762975
186.89999999997804,20.524880126345572
186.999999999978,20.528249275061395
187.09999999997797,20.531618423777218
187.199999999978,20.534987572493044
187.299999999978,20.53835672120887
187.39999999997798,20.541725869924694
187.49999999997794,20.545095018640517
187.59999999997797,20.54846416735634
187.699999999978,20.551833316072166
187.79999999997796,20.55520246478799
187.89999999997792,20.558571613503812
187.99999999997794,20.56194076221964
188.09999999997797,20.56530991093546
188.19999999997793,20.568679059651288
188.2999999999779,20.57204820836711
188.39999999997792,20.575417357082934
188.49999999997794,20.57878650579876
188.5999999999779,20.582155654514583
188.69999999997788,20.585524803230406
188.7999999999779,20.588893951946233
188.89999999997792,20.592263100662056
188.9999999999779,20.59563224937788
189.09999999997785,20.5990013980937
189.19999999997788,20.602370546809528
189.2999999999779,20.605739695525354
189.39999999997787,20.609108844241177
189.49999999997783,20.612477992957
189.59999999997785,20.615847141672823
189.69999999997788,20.61921629038865
189.79999999997784,20.622585439104473
189.8999999999778,20.625954587820296
189.99999999997783,20.629323736536122
190.09999999997785,20.632692885251945
190.19999999997782,20.636062033967768
190.29999999997779,20.639431182683595
190.3999999999778,20.642800331399418
190.49999999997783,20.646169480115244
190.5999999999778,20.649538628831067
190.69999999997776,20.65290777754689
190.79999999997779,20.656276926262713
190.8999999999778,20.65964607497854
190.99999999997777,20.663015223694362
191.09999999997774,20.666384372410185
191.19999999997776,20.66975352112601
191.29999999997779,20.673122669841835
191.39999999997775,20.67649181855766
191.49999999997772,20.679860967273484
191.59999999997774,20.683230115989307
191.69999999997776,20.686599264705134
191.79999999997773,20.689968413420956
191.8999999999777,20.69333756213678
191.99999999997772,20.696706710852606
192.09999999997774,20.70007585956843
192.1999999999777,20.703445008284252
192.29999999997767,20.70267662426215
192.3999999999777,20.70066106315356
192.49999999997772,20.698645502044975
192.59999999997768,20.696629940936386
192.69999999997765,20.6946143798278
192.79999999997767,20.692598818719215
192.8999999999777,20.690583257610626
192.99999999997766,20.68856769650204
193.09999999997763,20.686552135393455
193.19999999997765,20.684536574284866
193.29999999997767,20.68252101317628
193.39999999997764,20.680505452067692
193.4999999999776,20.678489890959106
193.59999999997763,20.67647432985052
193.69999999997765,20.674458768741932
193.79999999997762,20.672443207633346
193.89999999997758,20.670427646524757
193.9999999999776,20.668412085416172
194.09999999997763,20.666396524307583
194.1999999999776,20.664380963198997
194.29999999997756,20.662365402090412
194.39999999997758,20.660349840981823
194.4999999999776,20.658334279873237
194.59999999997757,20.656318718764652
194.69999999997754,20.654303157656063
194.79999999997756,20.652287596547477
194.89999999997758,20.65027203543889
194.99999999997755,20.648256474330303
195.0999999999775,20.646240913221718
195.19999999997754,20.64422535211313
195.29999999997756,20.642209791004543
195.39999999997752,20.640194229895954
195.4999999999775,20.63817866878737
195.5999999999775,20.636163107678783
195.69999999997754,20.634147546570194
195.7999999999775,20.63213198546161
195.89999999997747,20.630116424353023
